country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","28-09-2025 17:00:00",25.859655,85.77944,PM2.5,32,100,60
India,Bihar,Patna,"Muradpur, Patna - BSPCB","28-09-2025 17:00:00",25.619651,85.147382,NH3,4,10,5
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","28-09-2025 17:00:00",25.599486,85.113666,PM2.5,18,39,29
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","28-09-2025 17:00:00",26.2271665,84.3570427,PM2.5,20,90,38
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","28-09-2025 17:00:00",26.2271665,84.3570427,OZONE,4,7,6
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","28-09-2025 17:00:00",30.751462,76.762879,NH3,5,7,6
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","28-09-2025 17:00:00",25.03280,85.41948,CO,80,100,91
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","28-09-2025 17:00:00",25.366336,87.117468,NH3,3,3,3
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","28-09-2025 17:00:00",22.1910172,83.5197009,NO2,6,21,13
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","28-09-2025 17:00:00",22.1910172,83.5197009,CO,12,24,16
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","28-09-2025 17:00:00",22.1910172,83.5197009,OZONE,59,77,71
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","28-09-2025 17:00:00",21.258815,81.578979,PM2.5,3,19,9
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","28-09-2025 17:00:00",21.258815,81.578979,NH3,5,5,5
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","28-09-2025 17:00:00",21.258815,81.578979,CO,22,51,24
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","28-09-2025 17:00:00",21.219665,81.630094,SO2,5,7,6
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","28-09-2025 17:00:00",21.237755,81.705301,PM2.5,2,17,7
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","28-09-2025 17:00:00",22.06631475,83.33820077,PM2.5,8,34,19
India,Delhi,Delhi,"Alipur, Delhi - DPCC","28-09-2025 17:00:00",28.815329,77.153010,NO2,9,37,20
India,Delhi,Delhi,"Alipur, Delhi - DPCC","28-09-2025 17:00:00",28.815329,77.153010,OZONE,3,46,31
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","28-09-2025 17:00:00",28.647622,77.3158090,OZONE,1,19,3
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","28-09-2025 17:00:00",28.695381,77.181665,PM2.5,27,323,126
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","28-09-2025 17:00:00",28.695381,77.181665,NO2,13,92,40
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","28-09-2025 17:00:00",28.5512005,77.2735737,PM10,45,212,123
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","28-09-2025 17:00:00",28.5512005,77.2735737,NO2,17,44,29
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","28-09-2025 17:00:00",28.5512005,77.2735737,OZONE,18,198,71
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","28-09-2025 17:00:00",28.656756,77.227234,SO2,3,15,13
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","28-09-2025 17:00:00",28.656756,77.227234,OZONE,9,112,49
India,Delhi,Delhi,"DTU, Delhi - CPCB","28-09-2025 17:00:00",28.7500499,77.1112615,NO2,23,57,42
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","28-09-2025 17:00:00",28.695381,77.181665,NH3,1,2,1
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD","28-09-2025 17:00:00",28.4706914,77.1099364,PM10,45,221,114
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD","28-09-2025 17:00:00",28.4706914,77.1099364,OZONE,11,93,61
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD","28-09-2025 17:00:00",28.7256504,77.2011573,PM2.5,3,308,116
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD","28-09-2025 17:00:00",28.7256504,77.2011573,CO,20,58,25
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","28-09-2025 17:00:00",22.08815,82.13737,PM10,NA,NA,NA
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","28-09-2025 17:00:00",22.118125,83.140608,PM10,33,61,44
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","28-09-2025 17:00:00",22.118125,83.140608,NO2,4,13,9
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","28-09-2025 17:00:00",22.348441,82.549611,SO2,4,12,9
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","28-09-2025 17:00:00",22.126650,83.483212,PM2.5,1,21,5
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","28-09-2025 17:00:00",22.126650,83.483212,SO2,1,10,4
India,Delhi,Delhi,"DTU, Delhi - CPCB","28-09-2025 17:00:00",28.7500499,77.1112615,CO,12,34,18
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","28-09-2025 17:00:00",28.498571,77.264840,OZONE,7,69,36
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","28-09-2025 17:00:00",22.118125,83.140608,OZONE,33,79,61
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","28-09-2025 17:00:00",22.368195,82.746431,NH3,1,1,1
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","28-09-2025 17:00:00",28.5710274,77.0719006,NO2,26,116,57
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","28-09-2025 17:00:00",28.5710274,77.0719006,SO2,12,20,15
India,Delhi,Delhi,"ITO, Delhi - CPCB","28-09-2025 17:00:00",28.628624,77.241060,NH3,4,6,5
India,Delhi,Delhi,"ITO, Delhi - CPCB","28-09-2025 17:00:00",28.628624,77.241060,OZONE,39,63,41
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","28-09-2025 17:00:00",28.732820,77.170633,PM10,58,276,140
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","28-09-2025 17:00:00",28.732820,77.170633,NH3,6,7,6
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","28-09-2025 17:00:00",28.732820,77.170633,SO2,6,20,11
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","28-09-2025 17:00:00",28.580280,77.233829,PM2.5,24,197,77
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","28-09-2025 17:00:00",28.611281,77.237738,PM2.5,20,237,92
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","28-09-2025 17:00:00",28.611281,77.237738,SO2,4,9,6
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","28-09-2025 17:00:00",28.611281,77.237738,OZONE,3,107,31
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","28-09-2025 17:00:00",28.636429,77.201067,PM10,31,163,92
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","28-09-2025 17:00:00",28.580280,77.233829,OZONE,7,127,27
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD","28-09-2025 17:00:00",28.5918245,77.2273074,NO2,23,105,52
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD","28-09-2025 17:00:00",28.5918245,77.2273074,CO,13,65,22
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","28-09-2025 17:00:00",28.6811736,77.3025234,PM10,60,146,115
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","28-09-2025 17:00:00",28.6811736,77.3025234,CO,38,70,42
India,Delhi,Delhi,"ITO, Delhi - CPCB","28-09-2025 17:00:00",28.628624,77.241060,PM2.5,27,271,101
India,Delhi,Delhi,"Narela, Delhi - DPCC","28-09-2025 17:00:00",28.822836,77.101981,OZONE,2,84,8
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","28-09-2025 17:00:00",28.567890,77.250515,PM10,51,287,116
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","28-09-2025 17:00:00",28.567890,77.250515,NH3,5,13,9
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","28-09-2025 17:00:00",28.674045,77.131023,PM2.5,23,318,119
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","28-09-2025 17:00:00",28.674045,77.131023,PM10,69,293,144
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","28-09-2025 17:00:00",28.674045,77.131023,NH3,2,4,3
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","28-09-2025 17:00:00",28.674045,77.131023,SO2,3,5,4
India,Delhi,Delhi,"Mundka, Delhi - DPCC","28-09-2025 17:00:00",28.684678,77.076574,OZONE,6,80,50
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","28-09-2025 17:00:00",28.570173,76.933762,NH3,3,5,4
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","28-09-2025 17:00:00",28.672342,77.315260,PM10,48,308,122
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","28-09-2025 17:00:00",28.699793,77.165453,NO2,51,118,79
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","28-09-2025 17:00:00",28.699793,77.165453,NH3,7,13,9
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","28-09-2025 17:00:00",23.107969,72.574648,NH3,7,15,11
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","28-09-2025 17:00:00",22.977134,72.553024,NH3,4,8,6
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","28-09-2025 17:00:00",23.002657,72.591912,PM10,13,56,25
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","28-09-2025 17:00:00",23.002657,72.591912,NO2,27,29,28
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","28-09-2025 17:00:00",28.674045,77.131023,OZONE,4,104,42
India,Delhi,Delhi,"Pusa, Delhi - DPCC","28-09-2025 17:00:00",28.639652,77.146275,PM10,50,228,124
India,Delhi,Delhi,"Pusa, Delhi - IMD","28-09-2025 17:00:00",28.636110,77.173332,NO2,12,69,30
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","28-09-2025 17:00:00",28.563262,77.186937,NO2,9,97,42
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","28-09-2025 17:00:00",28.563262,77.186937,OZONE,19,103,68
India,Delhi,Delhi,"Rohini, Delhi - DPCC","28-09-2025 17:00:00",28.732528,77.119920,PM10,61,340,156
India,Delhi,Delhi,"Rohini, Delhi - DPCC","28-09-2025 17:00:00",28.732528,77.119920,CO,9,27,10
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM","28-09-2025 17:00:00",23.163798,72.677768,PM2.5,28,65,44
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM","28-09-2025 17:00:00",23.243639,72.68994,CO,14,52,39
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","28-09-2025 17:00:00",23.221714,72.654328,NO2,17,17,17
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","28-09-2025 17:00:00",23.221714,72.654328,CO,10,16,10
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","28-09-2025 17:00:00",23.016834,72.625775,CO,23,30,26
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","28-09-2025 17:00:00",23.023389,72.515201,PM10,44,97,72
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","28-09-2025 17:00:00",23.023389,72.515201,NO2,17,66,31
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","28-09-2025 17:00:00",22.969611,72.643500,PM10,54,95,72
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","28-09-2025 17:00:00",22.969611,72.643500,NH3,2,3,2
